Date,Close,Approval,Classification
1/14/2013,1485.97998,50,High-Moderate
1/7/2013,1472.050049,54,High-Moderate
12/31/2012,1466.469971,53,High-Moderate
12/24/2012,1402.430054,53,High-Moderate
12/17/2012,1430.150024,57,High
12/10/2012,1413.579956,52,High-Moderate
12/3/2012,1418.069946,50,High-Moderate
11/26/2012,1416.180054,51,High-Moderate
11/19/2012,1409.150024,52,High-Moderate
11/12/2012,1359.880005,53,High-Moderate
11/5/2012,1379.849976,51,High-Moderate
10/31/2012,1414.199951,52,High-Moderate
10/22/2012,1411.939941,50,High-Moderate
10/15/2012,1433.189941,50,High-Moderate
10/8/2012,1428.589966,50,High-Moderate
10/1/2012,1460.930054,52,High-Moderate
9/24/2012,1440.670044,48,Low-Moderate
9/17/2012,1460.150024,49,Low-Moderate
9/10/2012,1465.77002,50,High-Moderate
9/4/2012,1437.920044,50,High-Moderate
8/27/2012,1406.579956,44,Low
8/20/2012,1411.130005,46,Low-Moderate
8/13/2012,1418.160034,45,Low-Moderate
8/6/2012,1405.869995,45,Low-Moderate
7/30/2012,1390.98999,45,Low-Moderate
7/23/2012,1385.969971,47,Low-Moderate
7/16/2012,1362.660034,45,Low-Moderate
7/9/2012,1356.780029,46,Low-Moderate
7/2/2012,1354.680054,45,Low-Moderate
6/25/2012,1362.160034,46,Low-Moderate
6/18/2012,1335.02002,46,Low-Moderate
6/11/2012,1342.839966,46,Low-Moderate
6/4/2012,1325.660034,47,Low-Moderate
5/29/2012,1278.040039,46,Low-Moderate
5/21/2012,1317.819946,48,Low-Moderate
5/14/2012,1295.219971,47,Low-Moderate
5/7/2012,1353.390015,47,Low-Moderate
4/30/2012,1369.099976,48,Low-Moderate
4/23/2012,1403.359985,48,Low-Moderate
4/16/2012,1378.530029,48,Low-Moderate
4/9/2012,1370.26001,47,Low-Moderate
4/2/2012,1398.079956,47,Low-Moderate
3/26/2012,1408.469971,46,Low-Moderate
3/19/2012,1397.109985,46,Low-Moderate
3/12/2012,1404.170044,46,Low-Moderate
3/5/2012,1370.869995,48,Low-Moderate
2/27/2012,1369.630005,45,Low-Moderate
2/21/2012,1365.73999,45,Low-Moderate
2/13/2012,1361.22998,45,Low-Moderate
2/6/2012,1342.640015,47,Low-Moderate
1/30/2012,1344.900024,46,Low-Moderate
1/23/2012,1316.329956,45,Low-Moderate
1/17/2012,1315.380005,45,Low-Moderate
1/9/2012,1289.089966,45,Low-Moderate
1/3/2012,1277.810059,46,Low-Moderate
12/27/2011,1257.599976,42,Low
12/19/2011,1265.329956,45,Low-Moderate
12/12/2011,1219.660034,42,Low
12/5/2011,1255.189941,43,Low
11/28/2011,1244.280029,42,Low
11/21/2011,1158.670044,43,Low
11/14/2011,1215.650024,43,Low
11/7/2011,1263.849976,43,Low
10/31/2011,1253.22998,43,Low
10/24/2011,1285.089966,43,Low
10/17/2011,1238.25,41,Low
10/10/2011,1224.579956,41,Low
10/3/2011,1155.459961,40,Low
9/26/2011,1131.420044,41,Low
9/19/2011,1136.430054,41,Low
9/12/2011,1216.01001,40,Low
9/6/2011,1154.22998,43,Low
8/29/2011,1173.969971,42,Low
8/22/2011,1176.800049,40,Low
8/15/2011,1123.530029,40,Low
8/8/2011,1178.810059,40,Low
8/1/2011,1199.380005,42,Low
7/25/2011,1292.280029,42,Low
7/18/2011,1345.02002,43,Low
7/11/2011,1316.140015,44,Low
7/5/2011,1343.800049,46,Low-Moderate
6/27/2011,1339.670044,46,Low-Moderate
6/20/2011,1268.449951,43,Low
6/13/2011,1271.5,47,Low-Moderate
6/6/2011,1270.97998,46,Low-Moderate
5/31/2011,1300.160034,50,High-Moderate
5/23/2011,1331.099976,49,Low-Moderate
5/16/2011,1333.27002,50,High-Moderate
5/9/2011,1337.77002,49,Low-Moderate
5/2/2011,1340.199951,51,High-Moderate
4/25/2011,1363.609985,44,Low
4/18/2011,1337.380005,43,Low
4/11/2011,1319.680054,43,Low
4/4/2011,1328.170044,45,Low-Moderate
3/28/2011,1332.410034,48,Low-Moderate
3/21/2011,1313.800049,45,Low-Moderate
3/14/2011,1279.209961,48,Low-Moderate
3/7/2011,1304.280029,47,Low-Moderate
2/28/2011,1321.150024,46,Low-Moderate
2/22/2011,1319.880005,48,Low-Moderate
2/14/2011,1343.01001,48,Low-Moderate
2/7/2011,1329.150024,48,Low-Moderate
1/31/2011,1310.869995,47,Low-Moderate
1/24/2011,1276.339966,50,High-Moderate
1/18/2011,1283.349976,50,High-Moderate
1/10/2011,1293.23999,49,Low-Moderate
1/3/2011,1271.5,48,Low-Moderate
12/27/2010,1257.640015,48,Low-Moderate
12/20/2010,1256.77002,47,Low-Moderate
12/13/2010,1243.910034,46,Low-Moderate
12/6/2010,1240.400024,45,Low-Moderate
11/29/2010,1224.709961,46,Low-Moderate
11/22/2010,1189.400024,45,Low-Moderate
11/15/2010,1199.72998,46,Low-Moderate
11/8/2010,1199.209961,44,Low
11/1/2010,1225.849976,45,Low-Moderate
10/25/2010,1183.26001,45,Low-Moderate
10/18/2010,1183.079956,44,Low
10/11/2010,1176.189941,45,Low-Moderate
10/4/2010,1165.150024,46,Low-Moderate
9/27/2010,1146.23999,46,Low-Moderate
9/20/2010,1148.670044,44,Low
9/13/2010,1125.589966,46,Low-Moderate
9/7/2010,1109.550049,46,Low-Moderate
8/30/2010,1104.51001,45,Low-Moderate
8/23/2010,1064.589966,43,Low
8/16/2010,1071.689941,43,Low
8/9/2010,1079.25,44,Low
8/2/2010,1121.640015,45,Low-Moderate
7/26/2010,1101.599976,45,Low-Moderate
7/19/2010,1102.660034,45,Low-Moderate
7/12/2010,1064.880005,46,Low-Moderate
7/6/2010,1077.959961,46,Low-Moderate
6/28/2010,1022.580017,46,Low-Moderate
6/21/2010,1076.76001,45,Low-Moderate
6/14/2010,1117.51001,47,Low-Moderate
6/7/2010,1091.599976,46,Low-Moderate
6/1/2010,1064.880005,47,Low-Moderate
5/24/2010,1089.410034,46,Low-Moderate
5/17/2010,1087.689941,48,Low-Moderate
5/10/2010,1135.680054,49,Low-Moderate
5/3/2010,1110.880005,50,High-Moderate
4/26/2010,1186.689941,48,Low-Moderate
4/19/2010,1217.280029,50,High-Moderate
4/12/2010,1192.130005,48,Low-Moderate
4/5/2010,1194.369995,47,Low-Moderate
3/29/2010,1178.099976,49,Low-Moderate
3/22/2010,1166.589966,49,Low-Moderate
3/15/2010,1159.900024,48,Low-Moderate
3/8/2010,1149.98999,48,Low-Moderate
3/1/2010,1138.699951,49,Low-Moderate
2/22/2010,1104.48999,50,High-Moderate
2/16/2010,1109.170044,49,Low-Moderate
2/8/2010,1075.51001,51,High-Moderate
2/1/2010,1066.189941,50,High-Moderate
1/25/2010,1073.869995,48,Low-Moderate
1/19/2010,1091.76001,49,Low-Moderate
1/11/2010,1136.030029,50,High-Moderate
1/4/2010,1144.97998,51,High-Moderate

